	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	KO	WT	ko15	ko16	ko18	ko19	ko21	ko22	wt15	wt16	wt18	wt19	wt21	wt22
26	M438T4057	12.1938942644632	3.93995321154344	0.010493620647416	438.300018310547	438.284670634963	438.300018310547	4057.178	4052.421	4101.917	7	6	1	1688005.87	886542.592722218	972109.140000002	509452.014444442	466565.583684209	477464.549999998	167854.075	62114.7805350167	53916.3271771599	47849.2063419118	30408.1431070964	47910.207546658
27	M384T3996	5.56443807821031	3.53485605627863	0.0154712378808524	384.22877942729	384.200012207031	384.242636433227	3996.02	3994.343	4030.104	5	4	1	1085362.52461111	637047.820105262	1532283.78694736	608698.798526314	588360.068158318	288913.335436369	196445.911166666	33401.4979003906	216559.296549479	170113.424519857	116754.147949219	118683.505818685
28	M398T4060	16.9224564617872	3.54659712156071	0.0161215575848483	398.300018310547	398.300018310547	398.300018310547	4060.012	4055.377	4060.086	5	5	0	302032.712833332	199444.344722221	99237.0843353271	56563.1009999995	100635.107294117	92674.4450555566	3885.29265485491	15338.3451021635	14236.8735046387	14718.5422973633	0	2084.73628504136
29	M493T3665	4.90182751279874	3.26695450152156	0.0186177645627681	493.200012207031	493.19073672238	493.212802980958	3665.044	3625.323	3681.631	7	6	1	668974.061625002	669101.855739133	485466.241600003	228960.00975	270604.115227273	118918.315058823	75939.1607299805	175815.577052631	136892.551691229	44551.7387977013	39348.4979882812	25639.036328125
30	M594T3387	1.78804546378212	-2.596931923634	0.0287259189740778	594.200012207031	594.163048508079	594.236690685535	3386.6675	3376.117	3416.09	10	4	6	131760.497499999	39388.16031579	112116.1479	115931.084444444	210326.1501	35405.9950764974	203990.889473684	133577.8722	164900.069157894	218016.3144	167997.870454544	264677.632363634
31	M413T4115	7.1699114725742	2.98898011545502	0.028876304906412	413.268989915107	413.22556330821	413.297907500189	4114.847	4113.236	4139.311	6	5	1	991447.078611106	626592.406736831	495456.716277775	202687.288315792	230747.928444443	186556.157226562	151907.275058822	80185.2854614258	53086.3847927517	30423.2506781684	27441.6379123264	38200.4235839844
32	M412T4115	7.63345097371048	2.93796367539462	0.0309230686462008	412.290464903296	412.277273287572	412.300018310547	4114.849	4113.236	4139.311	7	6	1	3412993.59866665	2118700.86484213	1679362.23547368	655969.59873685	781156.103944441	594736.338105271	486799.443611109	248349.443267822	156837.338731554	100092.983714384	75226.1810980903	143538.665771484
33	M234T3022	1.317238911979	2.17636762951906	0.0560440854343063	234.027662648659	234.013338106709	234.100006103516	3022.378	3017.343	3031.968	5	2	3	76880.8651764701	101494.661578949	100861.834120009	53747.1767578125	90180.0034179688	81072.2347499999	65215.6404374994	58823.017578125	73781.0086315788	42795.6502821181	83693.3852631577	58489.5671386719
34	M580T3379	1.77152320006687	-2.19141442081321	0.0627789366309917	580.200012207031	580.18974217024	580.200012207031	3379.112	3373.018	3411.255	9	3	6	375029.31285	153382.31445	212356.598727275	112861.355932617	630636.789391307	106361.528710938	571668.41025	407624.711619048	302588.656227274	457511.909217393	541321.228960003	537119.311359997
35	M522T3545	4.0365328296524	-2.2865252763412	0.0659338020814446	522.299987792969	522.299987792969	522.299987792969	3544.801	3525.399	3554.062	3	0	3	0	48131.9089090908	45092.5554402669	17124.021257673	48581.987874349	86836.5847167969	79636.5395000007	0	201232.097412109	202702.313701923	378980.399999999	129495.448249999
36	M352T3495	3.27529229749073	2.269023211956	0.0682307534972764	352.151769091188	352.100006103516	352.200012207031	3495.123	3487.869	3499.784	5	5	0	165714.372571429	354074.63235	161146.276571429	94089.4858886719	48234.3752000003	77757.6706499999	65660.2301513672	77334.0868652344	50596.6446261936	27340.7900390625	38068.5435424805	16094.7898530506
37	M400T2786	1.91909634671925	-2.01069821678615	0.0735423537078779	400.100006103516	400.090670923516	400.100006103516	2786.199	2782.761	2808.569	6	1	5	85572.139078776	229736.574476191	77698.2169596354	166283.376674107	59785.7112862723	28640.4114815848	158828.073368421	187919.741818182	293209.883636364	303195.027499998	247167.668086957	52709.8400297619
38	M573T2919	780.668705784879	2.18668003465712	0.0804317247313653	572.799987792969	572.799987792969	572.832371922756	2919.22	2917.707	2919.36	3	3	0	0	181887.232999999	172153.8897	237799.538045455	0	0	0	0	758.120130037007	0	0	0
39	M288T2796	2.42803128239797	-1.97314923812086	0.10435823676026	288.138037861934	288.100006103516	288.188048482103	2796.024	2791.689	2802.059	11	6	5	233984.233555554	295667.56845	323173.547333337	286756.260947368	318510.608000004	401680.332812503	988202.948777773	213838.28364563	639029.414444452	395495.063894736	544135.329894735	1734884.89155555
40	M361T2916	9.80905567273823	1.94519804005116	0.104537247308171	360.851502754874	360.819637947538	360.899993896484	2916.1155	2914.557	2917.701	4	3	1	0	2721897.57913045	2969929.06971429	3456162.65947823	0	1603.54388427734	0	0	889552.008899999	38961.3467285156	4256.64359130859	0
41	M316T3089	5.08778616995681	-1.90576274255367	0.114572901090531	316.171137205312	316.147890395264	316.200012207031	3089.176	3085.126	3091.905	7	2	5	106306.469184028	125047.119473686	67253.0099999992	85672.4376627604	82592.9269883898	159768.606736844	1363190.24172222	70080.2165270354	302041.101894736	198404.027368421	172667.1933	1081830.44499999
42	M359T2916	9.25895886313952	1.8670957726937	0.115207083609516	358.870147766327	358.832873774735	358.899993896484	2916.106	2912.966	2928.92	4	3	1	0	3555646.9272381	4250967.40945456	2535026.04945455	1746.62731933594	0	0	0	1117122.04	0	0	0
43	M362T2687	1.18744324972641	1.73954669287431	0.118411681273763	362.058423208725	362.020274945824	362.091726850542	2687.411	2684.497	2690.602	12	6	6	770409.316173906	934352.596434786	641678.300458329	632941.445555561	600784.374249996	605451.080000003	704809.468695646	658928.806227274	491933.697374997	514541.882482759	568139.948479997	586544.850916667
44	M523T3409	1.07653871553761	1.73493668563206	0.123502110121034	523.200012207031	523.200012207031	523.200012207031	3408.766	3360.528	3466.739	24	6	6	4490686.12000003	4390354.96838096	4056525.6744	4665992.322	4483000.14933334	4504684.12952381	4369192.04000003	4146010.52000003	4063380.07771429	3365962.17904762	4297290.06400001	4458849.80419048
45	M548T3182	1.15394875059339	1.64615989455289	0.131644365802233	548.100036621094	548.100036621094	548.134810509798	3182.0255	3178.844	3186.827	10	6	4	758915.778600001	769992.376153843	738224.254565216	641591.346079997	600716.74638462	515862.459679997	627178.409845526	642831.630647079	668067.419478263	596320.590600001	451062.4086	502825.272230773
46	M398T3329	1.98311999306354	-1.62904490196042	0.134359474228405	398.200012207031	398.100006103516	398.200012207031	3329.338	3279.465	3399.546	9	3	5	14990.4297049386	11278.4579655172	91866.815135035	1376143.44	1441434.45786667	1130981.79972414	28052.8728869208	2069349.49174468	1716650.13046155	1641655.02857143	1422532.59085715	1186504.83970371
47	M362T2918	6.93296175443519	1.73004628770089	0.1355775251061	361.862655959617	361.848974909866	361.899993896484	2917.676	2916.116	2920.955	4	3	1	0	1907483.89366668	1810216.50782609	1020656.76666668	0	0	0	0	663489.73104762	19963.7966064453	0	0
48	M388T2688	1.35210519521921	-1.61567413200176	0.138078815137233	388.100006103516	388.078366800102	388.100006103516	2688.433	2596.84	2695.207	8	3	4	584497.8965	573448.716121215	381524.00117762	301598.253728693	333499.987232881	260421.326631578	702064.675848485	752440.932000001	606807.79755	371098.836486816	495841.47184923	364109.160833333
49	M350T3633	1.77705166450343	1.64306769166282	0.139175437521776	350.179833096414	350.100006103516	350.200012207031	3632.675	3610.224	3666.043	7	4	3	282937.260722221	233787.524999999	199359.236629711	181736.719928572	240243.927357143	89835.6950000002	16385.6913016183	316760.695000001	175073.792	113665.257263158	37690.7526506696	31399.9883161272
50	M570T2919	12.5961545812519	1.70533565328086	0.146485611138368	569.799987792969	569.700012207031	569.82509277147	2919.241	2916.116	2928.92	4	3	1	1143.4175832648	638431.71352381	623133.87305263	157088.439999999	0	4453.34814453125	0	0	110686.955611111	0	2383.32969835069	0
51	M430T3886	2.09486483248108	-1.58745621104041	0.150212982184747	430.200012207031	430.200012207031	430.220846167824	3886.102	3859.381	3911.467	9	3	6	31415.3200683594	66485.3358	193756.39	152015.414171007	443495.87535	536046.680333331	246396.73	1173060.44633333	263236.130000001	396414.500000001	422852.6199	479482.659263157
52	M459T3045	3.76931912975728	-1.68705492606376	0.15194865257758	459.200012207031	459.195373024201	459.205031247208	3044.9645	3039.239	3049.281	4	0	4	82070.3826660156	63598.00305	77413.9676706414	36647.1755615234	59816.6440795898	63674.6024414062	687933.67377272	63338.367590332	129063.187809524	84940.5930419922	65977.7650000006	413227.812681819
53	M591T3003	3.1712030874301	-1.64651383081853	0.153602052010901	591.281122377622	591.214882935661	591.310655578049	3002.5605	2998.988	3011.468	12	6	6	175453.071238095	523337.290666667	138598.442666667	72627.7645499999	106684.651043477	191229.356190476	1576633.18552381	98015.9483999999	404658.121590905	199088.547047619	264940.879304346	1287256.49127273
54	M590T3003	3.23302901791401	-1.64694081786644	0.153901164120149	590.286301562306	590.246188160993	590.299987792969	3002.583	3000.993	3011.468	12	6	6	463223.63505	1450836.05333333	388183.845090905	211669.199238095	285201.616761905	558531.504761905	4560396.43428572	269910.467047619	1110252.33676191	558365.619809524	767925.730173906	3588515.89054546
55	M546T3015	3.05478014600902	-1.61632673113579	0.162252189487202	546.252868688262	546.200012207031	546.299987792969	3015.084	3014.183	3023.717	9	3	6	476299.516952381	1160606.24457143	391806.49152832	256637.344824219	299616.242822266	529252.810666667	4004713.14285715	167685.011999999	995331.623619049	558458.724409092	656805.162909093	3130259.64072728
56	M547T3015	2.86008162007056	-1.61061735949483	0.162806579813126	547.240860836553	547.226957773736	547.255984913442	3015.084	3012.598	3023.717	7	2	5	181444.138960405	410589.817826089	149409.749651228	87417.2938058036	113097.727627841	175559.730818182	1317802.58133333	99363.5293079723	328355.485090908	184693.038782609	224353.44859091	1041625.92068182
57	M246T2514	1.61621962819481	-1.54584885809427	0.16850707122943	246.09072465813	246.051416665176	246.199996948242	2514.2925	2506.333	2527.684	6	3	3	27932.1199999993	26061.11235	30229.4010074013	25197.1215820312	56145.3945882349	47901.55455	105508.751578947	70508.82225	23388.0057739258	28631.540051912	77205.3607619048	39766.5966796875
58	M522T3409	1.07979937386168	1.52810770057065	0.168752284086666	522.200012207031	522.200012207031	522.203611177286	3408.766	3360.548	3465.204	24	6	6	15355128.9600001	14282159.3664	13919591.7504	16060743.8208	15307287.5032381	15197916.1112381	14903707.8400001	13781715.5200001	13786704.6521905	10886944.0032	15064828.3578182	15038666.5569524
59	M377T3075	1.31673070838047	1.47281889694956	0.171759635598437	377.045265498656	377	377.080124070543	3074.877	3067.861	3079.756	9	5	4	94719.8274444455	125213.21445	94550.813444444	52058.0927734375	85111.6179090911	66383.2397647066	92796.5107222233	92967.2633684208	65916.8872941172	37110.3056030273	58959.7414981618	45675.8308124996
60	M458T3044	2.18834215313289	-1.55843305230993	0.175137136100421	458.200012207031	458.167216384897	458.200012207031	3044.237	3041.067	3049.281	12	6	6	347732.419047619	588548.105454547	270001.607727273	237943.184761905	263382.182608697	309530.794590906	1742958.73527273	292667.214000001	470208.722285715	311438.474181815	341058.368863637	1255857.24327273
61	M433T3817	1.35863231211104	-1.450599471905	0.179291410950956	433.192916532604	433.177509383411	433.195327022579	3817.384	3766.249	3820.634	7	3	4	487331.827034478	518192.118709674	343910.937825521	257342.214663298	378265.466625001	167794.332879317	747277.232466669	369024.554443359	530128.939034483	245088.973675272	478209.627617646	555184.444733334
62	M482T3324	1.3648614227416	-1.44039182288641	0.187113741484399	482.136530749264	482.100006103516	482.200012207031	3324.104	3319.8	3329.238	4	3	1	711236.16	483309.560000001	1307319.4728421	1109743.26621094	1108641.76611328	996402.013549805	2016689.32933333	1783315.24726563	1220734.6972168	666765.790690104	1157444.596875	957488.446472168
63	M429T3887	1.8754486415461	-1.44851933971191	0.188547409625503	429.200012207031	429.200012207031	429.240866503637	3887.292	3859.381	3963.418	13	6	6	580907.655000002	238723.331368424	574589.749999994	488037.314666672	1374609.07978949	1573595.45733333	775416.810000001	3609938.72711109	767394.620000002	1220814.245	1236769.33466668	1448950.76222222
64	M593T3503	3.08912810038841	1.46104668381271	0.199658197880434	592.979785263729	592.959947639755	593.049546974756	3502.948	3499.663	3506.773	5	4	1	78874.6089935303	284133.575000001	40023.370588235	35192.3144999997	38245.1314086914	49865.5949999999	43105.4369954427	54366.5349999999	19275.5224121094	19558.0389122596	34077.3638556985	0
65	M273T3675	2.53423589703917	-1.39299231946357	0.207694915136846	273.200012207031	273.200012207031	273.202745565007	3674.734	3665.713	3678.313	3	0	3	55363.7506713867	65190.6014375006	8868.01783662684	10150.847140842	9131.9494243421	4862.84899902344	55768.1127499995	175747.525363637	98732.3449999995	34618.5968967014	21396.1058213976	2914.89171006944
66	M414T3062	1.75621779233243	-1.40093286358265	0.208400657333635	414.186547834526	414.100006103516	414.200012207031	3061.631	3053.603	3064.081	10	5	5	252452.207454546	352227.449454546	183836.884046053	125159.006437499	95257.9694117657	276920.271772728	784648.344380953	192081.84	258999.619047619	212392.869360352	169402.106222221	640714.522826086
67	M430T4077	1.51185760701321	1.34364117553365	0.210334798228926	430.208218563533	430.200012207031	430.216761404889	4077.286	4074.957	4083.753	5	3	2	398260.315058828	278948.738526315	271827.72011111	167945.608940972	130305.159231086	111338.892269737	299915.342999999	68251.72265625	204156.773894736	111352.727821752	97168.7870551215	117801.732331928
68	M517T2925	4.83593060207674	1.4220995514465	0.213269371405026	517.206612695859	517.161326141078	517.241829152124	2925.48	2920.867	2930.175	5	4	1	73778.0027999999	428335.291428572	53816.9750526314	91781.1875999999	15262.6953125	26120.3392269737	2233.98857678865	41849.665	19115.6506990132	18752.20703125	39796.7198422081	20746.4711371528
69	M564T3459	1.15749507352104	-1.31061183022602	0.219923189657823	564.202276543251	564.200012207031	564.243442189252	3458.735	3445.09	3486.483	12	6	6	495463.923809517	528828.542869567	403730.49585	310207.5189	373670.928521741	319110.653750002	483380.926476184	561867.1284	531539.640333331	483456.8736	364380.949730772	389258.968863637
70	M305T2926	1.30299036855976	-1.37978323395779	0.220571118000746	305.100006103516	305.100006103516	305.118148893444	2926.185	2920.035	2936.27	12	6	6	994373.817684208	888256.440000004	1063314.6672	1096130.20647619	1246073.69263159	1214950.01936842	1681341.89389473	1149447.58231579	810315.662842116	859584.524190477	2251478.21104762	1721307.2844
71	M401T3746	3.95704252926632	-1.35758906343143	0.229601975097926	401.200012207031	401.191104990297	401.200012207031	3745.5635	3689.718	3761.041	4	1	3	234332.531436012	701952.447263156	729049.791418457	172916.347103721	110220.608526933	56996.6662772042	323630.511111115	3033005.55786664	4059629.31918367	385801.623535156	86157.0122070312	47499.6944405692
72	M473T2937	3.80605831856763	1.35236949807721	0.23278237610656	473.176868065728	473.168969125792	473.181961416615	2937.06	2935.31	2938	3	3	0	86935.9562105274	498129.037714286	58259.9331825658	112626.492952381	22127.120207134	37881.147525185	24058.8421695107	64142.2534179688	44278.7992521587	9146.14730674342	51248.1436225043	21510.2559543186
73	M549T3180	1.20194059947649	1.28910580192536	0.234184809647533	549.100036621094	549.100036621094	549.100036621094	3180.487	3178.973	3183.689	3	3	0	187647.928466797	178812.75195	220591.150363636	115190.699544271	162508.215130435	102376.88682353	155816.140722656	154894.282121931	156164.889171254	113237.706010298	99137.9409956499	125387.500399503
74	M526T3696	1.26653138303759	1.25546193230094	0.237865788930691	526.200012207031	526.200012207031	526.299987792969	3695.578	3682.698	3707.115	9	6	3	1989462.67099999	1499603.93739131	1692971.92499999	1144360.13166666	1272025.77784616	856630.934719996	1413279.15090909	1531149.69970703	1178842.20233445	348467.763000003	1098370.61476935	1105647.2784
75	M467T3678	1.29754246847697	1.24948801650194	0.248696476675457	467.200012207031	467.100006103516	467.200012207031	3678.284	3652.467	3703.363	13	6	6	986922.615913047	1099746.42296297	860519.056499999	662154.177545456	740599.629714286	685996.876190477	533336.667272725	1042023.17008696	857864.64152381	682214.386285715	64334.5806250005	701362.548727275
76	M312T2999	1.1559574260919	1.21370309423089	0.252907531352798	312.100006103516	312.08580970968	312.11181595421	2999.1905	2990.933	3009.543	12	6	6	293193.90661111	263174.5116	296169.41936842	158153.847	243862.618526315	264121.30635	241411.910947368	288181.927999999	230302.349578947	149743.8057	192635.850000001	211505.766736842
77	M313T2786	1.84103088152322	-1.17863637309727	0.265973967523103	313.001212832892	313	313.029265583867	2786.2615	2779.791	2793.925	12	6	6	1704155.4324	6856948.35031588	897619.326149999	1642799.37219048	806366.75352381	307398.43365	915830.649299999	4877627.9578948	7685168.97959999	4134979.77904762	4114991.6389091	760122.81915
78	M492T3641	1.19313143405437	1.17486644871135	0.267350475321329	492.200012207031	492.192866757831	492.209694476715	3640.938	3624.443	3669.869	11	6	5	606211.91457143	598203.047619048	530440.60952381	334754.268952377	407576.761818177	418373.733	205483.033333333	554774.054095239	485690.796190477	388397.11575	374965.720380953	417547.087227274
79	M576T2860	1.76940906194753	-1.16333944240655	0.272947877693445	576.252859690866	576.205486863815	576.291278017366	2859.882	2854.854	2863.868	8	2	6	313926.290611115	379595.198631578	41139.5508386948	55134.4933810764	67731.7941176471	49668.5878363715	588883.899611118	143282.12715	110578.974444446	97970.4001052629	365961.164999996	298524.107388887
80	M463T3045	1.61136674015067	-1.20746411415448	0.275991693304277	463.181722575075	463.15072316726	463.200012207031	3044.927	3041.477	3052.251	7	2	5	224751.8592	291709.31936842	183235.413754112	124567.251657586	161527.160058594	207171.526095238	708094.49145	96589.7343529405	253796.152380953	136165.331208882	213874.512954546	513779.920956524
81	M557T2915	2.65827376878727	1.19856804500957	0.281015446143291	557.250620620255	557.187240002561	557.289954764071	2914.525	2909.626	2921.916	6	4	2	198372.728421052	758154.11205	67813.7932385896	195362.395428572	30130.9716796875	61752.7077777785	99118.679294117	170070.94125	39667.2581080387	23698.2149658203	89317.6553005642	71525.156141493
82	M584T3374	1.85303788231656	-1.13888432841804	0.281629653356012	584.175185324337	584.174963207793	584.299987792969	3373.8455	3370.802	3388.482	4	1	3	182064.71805	122791.800888888	23199.4503245634	11453.9023724724	18169.9988223805	5237.1689453125	142677.549944446	104142.107679579	177368.3031	24624.0961914062	8488.32479319853	215198.640444443
83	M424T3433	1.88735888713552	-1.13052384948798	0.287046015109962	424.200012207031	424.200012207031	424.200012207031	3432.757	3393.741	3508.263	7	3	4	27315.8565447772	24624.0646153844	46035.04828125	961030.380333325	1348980.00208694	586789.618785714	27440.4632568359	7011.69180063101	1673201.43443479	1562709.029	1547095.93753846	834756.599791671
84	M595T3005	2.58756815683656	-1.16719035536445	0.287250391786444	595.200012207031	595.200012207031	595.263281590128	3005.293	3003.288	3011.663	5	2	3	178436.863894736	264081.384681819	38132.523386102	1978.43392783717	58383.6410590278	50871.5572959498	857615.435318184	44549.1870117188	195758.328380953	52015.3850997122	70251.5943196615	311351.306823533
85	M444T2899	1.706758478496	-1.14319095268088	0.288315150765041	444.183741484675	444.177932062456	444.200012207031	2898.876	2889.943	2901.052	5	2	3	166816.817999999	130090.624999998	47686.8112362132	59634.4275045956	45276.6708984375	29750.1594381893	336163.214315789	58603.92578125	59791.9207548254	71667.3926355698	175244.66595	116502.289166666
86	M444T2686	1.19445760543679	1.12130937358687	0.292064199266573	444.097716842693	444.010382833314	444.118686406941	2686.2835	2681.163	2687.668	12	6	6	348573.720782606	304396.915500002	238158.742719999	250968.947478262	214580.687384614	225079.871739131	352281.102782606	238866.837045455	116900.377904762	223410.559680001	176842.748952379	215947.035458334
